,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
0,great,2082,great,953.0,great,90.0,great,537.0,great,101.0,great,37.0,great,365.0
1,staff,1187,staff,528.0,workout,60.0,love,390.0,workout,57.0,work,14.0,staff,248.0
2,workout,1018,equipment,493.0,staff,53.0,workout,371.0,love,51.0,workout,13.0,place,211.0
3,place,961,place,434.0,equipment,50.0,staff,306.0,place,45.0,place,12.0,clean,174.0
4,equipment,947,workout,364.0,place,46.0,classes,300.0,staff,42.0,clean,12.0,equipment,169.0
5,love,851,clean,342.0,love,37.0,class,273.0,training,32.0,coaches,11.0,love,161.0
6,clean,829,friendly,334.0,clean,35.0,clean,236.0,time,32.0,love,11.0,fitness,160.0
7,friendly,791,good,333.0,class,34.0,friendly,235.0,workouts,31.0,equipment,11.0,workout,156.0
8,fitness,749,fitness,310.0,location,34.0,fitness,220.0,clean,30.0,staff,11.0,good,154.0
9,good,698,location,295.0,fitness,33.0,place,213.0,feel,29.0,people,10.0,friendly,154.0
10,people,696,people,292.0,recommend,33.0,equipment,197.0,friendly,29.0,friendly,10.0,people,153.0
11,work,642,time,266.0,good,33.0,training,192.0,recommend,28.0,time,9.0,work,118.0
12,time,641,work,263.0,nice,33.0,work,188.0,class,28.0,class,9.0,time,117.0
13,classes,623,'ve,259.0,people,32.0,coaches,187.0,equipment,28.0,recommend,8.0,classes,109.0
14,location,617,training,230.0,time,32.0,time,185.0,classes,27.0,community,8.0,location,107.0
15,'ve,566,nice,223.0,work,32.0,people,184.0,work,27.0,classes,8.0,membership,96.0
16,class,564,recommend,202.0,friendly,29.0,recommend,179.0,fitness,25.0,fun,7.0,feel,87.0
17,training,564,love,202.0,workouts,28.0,'ve,177.0,people,25.0,awesome,7.0,nice,87.0
18,recommend,533,membership,197.0,feel,28.0,feel,166.0,working,24.0,years,6.0,'ve,84.0
19,nice,498,awesome,187.0,awesome,27.0,amazing,165.0,week,22.0,check,6.0,recommend,83.0
20,coaches,463,machines,162.0,machines,23.0,workouts,163.0,fit,22.0,trainer,6.0,amazing,82.0
21,feel,443,classes,158.0,training,22.0,working,160.0,day,21.0,personal,6.0,training,82.0
22,amazing,434,coaches,157.0,community,22.0,location,159.0,fun,21.0,training,6.0,machines,81.0
23,membership,421,facility,155.0,fun,22.0,good,154.0,community,20.0,strength,6.0,working,80.0
24,awesome,418,amazing,154.0,coaches,22.0,nice,143.0,years,20.0,form,6.0,class,78.0
25,workouts,415,experience,147.0,'ve,22.0,fun,138.0,'ve,20.0,day,6.0,day,75.0
26,working,413,community,146.0,membership,22.0,community,135.0,location,20.0,crossfit,6.0,coaches,71.0
27,community,387,day,145.0,classes,21.0,super,120.0,welcoming,20.0,heat,5.0,super,68.0
28,day,361,class,143.0,trainer,20.0,highly,119.0,good,19.0,workouts,5.0,workouts,64.0
29,super,358,years,141.0,locker,20.0,awesome,119.0,trainers,18.0,trainers,5.0,awesome,64.0
30,machines,348,trainers,132.0,years,19.0,years,109.0,super,18.0,facility,5.0,gyms,64.0
31,years,339,highly,132.0,day,19.0,welcoming,104.0,strength,18.0,highly,5.0,month,62.0
32,highly,335,member,131.0,members,18.0,trainer,100.0,trainer,17.0,experience,5.0,facility,62.0
33,fun,322,feel,131.0,super,18.0,studio,99.0,highly,17.0,challenging,5.0,fun,59.0
34,experience,319,working,131.0,room,17.0,personal,96.0,coaches,17.0,facilities,5.0,service,59.0
35,facility,317,super,129.0,working,15.0,day,95.0,personal,17.0,super,5.0,community,56.0
36,trainers,307,workouts,124.0,area,15.0,body,94.0,amazing,16.0,good,5.0,months,55.0
37,gyms,279,members,121.0,experience,15.0,strength,93.0,membership,16.0,membership,5.0,experience,55.0
38,'m,279,'m,120.0,weights,14.0,fit,92.0,members,15.0,body,4.0,...,54.0
39,trainer,276,months,118.0,month,14.0,helpful,92.0,instructors,14.0,free,4.0,body,53.0
40,members,274,weights,118.0,care,14.0,trainers,89.0,service,14.0,worked,4.0,trainers,52.0
41,months,271,gyms,117.0,body,14.0,instructors,88.0,'re,14.0,'m,4.0,planet,52.0
42,strength,268,free,116.0,personal,13.0,week,86.0,'m,14.0,week,4.0,cancel,51.0
43,helpful,267,helpful,111.0,amazing,13.0,'m,86.0,awesome,14.0,nice,4.0,highly,49.0
44,member,265,'re,107.0,free,13.0,experience,85.0,challenging,13.0,pain,4.0,member,49.0
45,personal,264,room,107.0,times,13.0,membership,85.0,year,13.0,amazing,4.0,customer,49.0
46,fit,255,strength,104.0,goals,13.0,months,78.0,goals,13.0,'ve,4.0,'m,47.0
47,welcoming,248,plenty,100.0,highly,13.0,challenging,76.0,studio,13.0,...,4.0,trainer,46.0
48,...,248,pool,95.0,week,13.0,...,76.0,form,13.0,pool,4.0,room,45.0
49,free,242,personal,93.0,cancel,12.0,machines,76.0,experience,12.0,gyms,4.0,members,45.0
50,'re,233,atmosphere,93.0,gyms,12.0,facility,73.0,family,12.0,starting,4.0,free,45.0
51,room,229,...,92.0,weight,12.0,members,72.0,customer,12.0,kids,4.0,years,45.0
52,body,227,area,91.0,'re,12.0,cardio,71.0,month,12.0,told,4.0,helpful,44.0
53,month,227,service,91.0,life,11.0,goals,71.0,gyms,12.0,weight,4.0,area,43.0
