place_id,name,address,lat,lng,rating,rating_total,zipcode,weekday,Total Business Hour
ChIJAQAAwJu1RIYR0Uxbdso1umU,Gregory Gymnasium,"2101 Speedway, Austin, TX 78712, United States",30.2843488,-97.7367912,4.5,514.0,78712,"['Monday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009\u200912:00\u202fAM']",56.0
ChIJ4aq1e0LKRIYRd56yP_QSr9k,Travis County Strength,"4507 Airport Blvd, Austin, TX 78751, United States",30.3033254,-97.7156821,4.9,67.0,78751,"['Monday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: Closed']",89.5
ChIJvyvUp3_KRIYRT6unaEHNPMU,Anytime Fitness,"3407 Guadalupe St, Austin, TX 78705, United States",30.3005891,-97.7392142,4.1,96.0,78705,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0
ChIJGz-OvHK1RIYRGENTa5vNjeg,Castle Hill Fitness Gym & Spa,"1112 N Lamar Blvd, Austin, TX 78703, United States",30.2765897,-97.7518825,4.7,56.0,78703,"['Monday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20097:00\u202fPM']",101.5
ChIJxTigl3vKRIYRTVjlTFHChPo,Hyde Park Gym,"4125 Guadalupe St, Austin, TX 78751, United States",30.307163,-97.7351586,4.8,121.0,78751,"['Monday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20097:00\u202fPM']",98.0
ChIJrZF1ZKfORIYRuLjBoXzBtRA,Big Tex Gym,"1921 Cedar Bend Dr A 130, Austin, TX 78758, United States",30.40757559999999,-97.6981419,4.8,226.0,78758,"['Monday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20093:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009\u20094:00\u202fPM']",81.0
ChIJV6sUakxLW4YR_MeTUOXGKs0,FeV Iron Vault Gym,"2101 W. Ben White BLVD #105 Back of building facing, Redd St, Austin, TX 78704, United States",30.2296924,-97.7913436,5.0,86.0,78704,"['Monday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20094:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009\u20094:00\u202fPM']",79.0
ChIJ632GnaDKRIYRjzviqbOm73I,R Fitness,"2425 Exposition Blvd suite e-1, Austin, TX 78703, United States",30.2973428,-97.7670376,4.9,39.0,78703,"['Monday: 11:45\u202fAM\u2009\u20097:30\u202fPM', 'Tuesday: 5:45\u202fAM\u2009\u20097:30\u202fPM', 'Wednesday: 6:15\u202fAM\u2009\u20097:30\u202fPM', 'Thursday: 5:45\u202fAM\u2009\u20097:30\u202fPM', 'Friday: 6:15\u202fAM\u2009\u20091:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: 9:15\u202fAM\u2009\u20091:00\u202fPM']",75.0
ChIJf4Ny_n2zRIYRNh3Pr7hx3BY,"Onnit Gym - Austin, TX","4401 Freidrich Ln #301, Austin, TX 78744, United States",30.2066449,-97.7477931,4.9,191.0,78744,"['Monday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20096:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20096:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20092:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009\u20092:00\u202fPM']",75.0
ChIJn3xLEam1RIYRVaWzwE6tyfY,East Austin Athletic Club,"4909 E Cesar Chavez St suite c, Austin, TX 78702, United States",30.2512094,-97.7012831,4.8,86.0,78702,"['Monday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Tuesday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Wednesday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Thursday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Friday: 6:00\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:00\u2009\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009\u200912:00\u202fPM']",74.0
