weekday,Total Business Hour,place_id
"['Monday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009\u200912:00\u202fAM']",56.0,ChIJAQAAwJu1RIYR0Uxbdso1umU
"['Monday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: Closed']",89.5,ChIJ4aq1e0LKRIYRd56yP_QSr9k
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJvyvUp3_KRIYRT6unaEHNPMU
"['Monday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u200910:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20097:00\u202fPM']",101.5,ChIJGz-OvHK1RIYRGENTa5vNjeg
"['Monday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20097:00\u202fPM']",98.0,ChIJxTigl3vKRIYRTVjlTFHChPo
"['Monday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20093:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009\u20094:00\u202fPM']",81.0,ChIJrZF1ZKfORIYRuLjBoXzBtRA
"['Monday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20094:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009\u20094:00\u202fPM']",79.0,ChIJV6sUakxLW4YR_MeTUOXGKs0
"['Monday: 11:45\u202fAM\u2009\u20097:30\u202fPM', 'Tuesday: 5:45\u202fAM\u2009\u20097:30\u202fPM', 'Wednesday: 6:15\u202fAM\u2009\u20097:30\u202fPM', 'Thursday: 5:45\u202fAM\u2009\u20097:30\u202fPM', 'Friday: 6:15\u202fAM\u2009\u20091:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: 9:15\u202fAM\u2009\u20091:00\u202fPM']",75.0,ChIJ632GnaDKRIYRjzviqbOm73I
"['Monday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20096:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20096:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009\u20092:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009\u20092:00\u202fPM']",75.0,ChIJf4Ny_n2zRIYRNh3Pr7hx3BY
"['Monday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Tuesday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Wednesday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Thursday: 5:30\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:30\u2009\u20097:00\u202fPM', 'Friday: 6:00\u2009\u20099:00\u202fAM, 11:00\u202fAM\u2009\u20091:00\u202fPM, 3:00\u2009\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009\u200912:00\u202fPM']",74.0,ChIJn3xLEam1RIYRVaWzwE6tyfY
