name,address,lat,lng,place_id,rating,rating_total,zipcode
Gregory Gymnasium,"2101 Speedway, Austin, TX 78712, United States",30.2843488,-97.7367912,ChIJAQAAwJu1RIYR0Uxbdso1umU,4.5,514.0,78712
Travis County Strength,"4507 Airport Blvd, Austin, TX 78751, United States",30.3033254,-97.7156821,ChIJ4aq1e0LKRIYRd56yP_QSr9k,4.9,67.0,78751
Anytime Fitness,"3407 Guadalupe St, Austin, TX 78705, United States",30.3005891,-97.73921419999999,ChIJvyvUp3_KRIYRT6unaEHNPMU,4.1,96.0,78705
Castle Hill Fitness Gym & Spa,"1112 N Lamar Blvd, Austin, TX 78703, United States",30.2765897,-97.7518825,ChIJGz-OvHK1RIYRGENTa5vNjeg,4.7,56.0,78703
Hyde Park Gym,"4125 Guadalupe St, Austin, TX 78751, United States",30.307163,-97.73515859999999,ChIJxTigl3vKRIYRTVjlTFHChPo,4.8,121.0,78751
Big Tex Gym,"1921 Cedar Bend Dr A 130, Austin, TX 78758, United States",30.40757559999999,-97.6981419,ChIJrZF1ZKfORIYRuLjBoXzBtRA,4.8,226.0,78758
FeV Iron Vault Gym,"2101 W. Ben White BLVD #105 Back of building facing, Redd St, Austin, TX 78704, United States",30.2296924,-97.79134359999999,ChIJV6sUakxLW4YR_MeTUOXGKs0,5.0,86.0,78704
R Fitness,"2425 Exposition Blvd suite e-1, Austin, TX 78703, United States",30.2973428,-97.7670376,ChIJ632GnaDKRIYRjzviqbOm73I,4.9,39.0,78703
"Onnit Gym - Austin, TX","4401 Freidrich Ln #301, Austin, TX 78744, United States",30.2066449,-97.7477931,ChIJf4Ny_n2zRIYRNh3Pr7hx3BY,4.9,191.0,78744
East Austin Athletic Club,"4909 E Cesar Chavez St suite c, Austin, TX 78702, United States",30.2512094,-97.7012831,ChIJn3xLEam1RIYRVaWzwE6tyfY,4.8,86.0,78702
Planet Fitness,"1819 S Pleasant Valley Rd, Austin, TX 78741, United States",30.234439,-97.72076799999999,ChIJ3QD4i0C0RIYR5TiI8PmmL_A,4.3,817.0,78741
Barry's Austin,"408 W 2nd St, Austin, TX 78701, United States",30.265561,-97.7479137,ChIJaQRnIFm1RIYRmnphA-DwzGk,4.7,43.0,78701
Lift ATX,"1005 Springdale Rd Unit 3, Austin, TX 78721, United States",30.2653422,-97.69445259999999,ChIJ67fKLcW3RIYR-vOCNhTncE0,4.7,91.0,78721
ADAPT Fitness,"211 Walter Seaholm Drive, UG-100, Austin, TX 78701, United States",30.267489,-97.752658,ChIJ2Xj42hG1RIYRDjhdHZglX0k,5.0,28.0,78701
Recreational Sports Center,"2001 San Jacinto Blvd, Austin, TX 78712, United States",30.2814789,-97.732908,ChIJCRvzjZm1RIYRcJ9FjtmT0fo,4.6,41.0,78712
R Fitness,"74 Trinity St, Austin, TX 78701, United States",30.260628,-97.741897,ChIJQ7j2YQe1RIYRuurPrEGJdWM,4.7,22.0,78701
Orangetheory Fitness,"1911 Aldrich St #175, Austin, TX 78723, United States",30.2988995,-97.7043597,ChIJH8WQ1_i1RIYRvAAnyn0hNEo,4.7,165.0,78723
Sculpt Physique Fitness,"1717 W 6th St Bldg 2 Suite 110R, Austin, TX 78703, United States",30.276439,-97.7660313,ChIJOadXfVm1RIYR14nZsvZcSyE,4.9,34.0,78703
24 Hour Fitness,"1000 E 41st St, Austin, TX 78751, United States",30.301343,-97.7203279,ChIJw1zenIq1RIYRLJTo_ZFw4-I,3.6,240.0,78751
HIT Athletic,"7797 Burnet Rd, Austin, TX 78757, United States",30.3536729,-97.73066419999999,ChIJmdm_YCjLRIYRPl7c-OrLBRc,4.9,55.0,78757
Central Athlete,"1023 Springdale Rd building 9b, Austin, TX 78721, United States",30.2669122,-97.6927887,ChIJWUhOtqi1RIYR5mxo3OlS1LE,5.0,30.0,78721
Orangetheory Fitness,"401 W 3rd St, Austin, TX 78701, United States",30.2661236,-97.7477057,ChIJMUq-wAq1RIYRGFv2zSSc3oA,4.9,126.0,78701
Anytime Fitness,"7300 Fm 2222 #208, Austin, TX 78730, United States",30.3719319,-97.8020059,ChIJZW7ZF7w0W4YR6xDqTgygRtw,4.1,33.0,78730
Life Time,"907 W 5th St, Austin, TX 78703, United States",30.269586,-97.75380860000001,ChIJO2DDHBK1RIYRdJxB2BxVCCg,4.1,128.0,78703
FIT Austin,"2919 Menchaca Rd #200, Austin, TX 78704, United States",30.2420288,-97.7813856,ChIJ80i_rdO0RIYRjCZLgstsFqU,4.9,51.0,78704
Orangetheory Fitness,"7301 N FM 620 #175, Austin, TX 78730, United States",30.4054479,-97.85098269999999,ChIJ3UKQkOUzW4YR89KDbAW-ioM,4.7,54.0,78730
Gold's Gym Austin Highland,"6001 Middle Fiskville Rd #100, Austin, TX 78752, United States",30.3226436,-97.7093814,ChIJWRcrBSPKRIYRC_Ly7M4bU30,3.9,455.0,78752
Dane's Body Shop - Manor Road,"2701 Manor Rd, Austin, TX 78722, United States",30.2847835,-97.7140029,ChIJz2pwmO61RIYR_pND8CYKXMw,4.9,22.0,78722
LA Fitness,"4001 S Lamar Blvd, Austin, TX 78704, United States",30.2348134,-97.79176489999999,ChIJfadJcDFLW4YRTXGMvist_y8,4.0,735.0,78704
Austin Simply Fit,"4912 Burnet Rd, Austin, TX 78756, United States",30.3206792,-97.7396467,ChIJE2VB64HKRIYRHq6eDF0RwCU,5.0,305.0,78756
Mtiv Fitness | Austin,"809 S Lamar Blvd Suite K, Austin, TX 78704, United States",30.2569873,-97.7604248,ChIJlWw_zh61RIYRDFtEZC9fHu0,4.9,97.0,78704
BodyWise Gym,"2901 Ranch Rd 620 N, Austin, TX 78734, United States",30.3901221,-97.93785749999999,ChIJPwUdGrMwW4YRXsnj4ElLT4A,4.6,48.0,78734
Anytime Fitness,"2525 W Anderson Ln., Austin, TX 78757, United States",30.3545437,-97.7331375,ChIJx5kWoq_LRIYRqsKoeyWqfbM,3.9,86.0,78757
Starting Strength Austin,"2943 W Anderson Ln., Austin, TX 78757, United States",30.35944109999999,-97.739049,ChIJb_W2cRrLRIYR1k6UEQzlAFw,4.9,48.0,78757
Empower House Kickboxing + Fitness,"5540 N Lamar Blvd B, Austin, TX 78756, United States",30.3246588,-97.72871049999999,ChIJo7iYfHe1RIYR-mY_06tLN50,5.0,159.0,78756
RIDE,"117 Lavaca St, Austin, TX 78701, United States",30.2645444,-97.7465503,ChIJHZsvqQi1RIYRJ7YP4AAdSBo,4.7,96.0,78701
Life Time,"4210 W Braker Ln, Austin, TX 78759, United States",30.400091,-97.7399303,ChIJ7YydDH3MRIYRW04GcSpT4WU,4.3,275.0,78759
Planet Fitness,"1100 W Anderson Ln., Austin, TX 78757, United States",30.34997299999999,-97.7161149,ChIJUyvJpsvLRIYRPYQMVr3Y-n4,4.2,1084.0,78757
Liberation Barbell Club,"3900 Drossett Dr Suite A, Austin, TX 78744, United States",30.2115576,-97.73209729999999,ChIJEb-SbMu1RIYRgHGXE3ghZD8,4.9,56.0,78744
Atomic Athlete,"3907 Warehouse Row, Austin, TX 78704, United States",30.2221905,-97.756855,ChIJ0_Z0a362RIYRCufFMGu6hI4,4.9,208.0,78704
Athletic Outcomes,"2301-A E Riverside Dr #50, Austin, TX 78741, United States",30.2357965,-97.72647649999999,ChIJg7z_xN4sDogR9Pj1oXPFgyg,4.9,101.0,78741
Los Campeones Gym,"9811 Vikki Terrace, Austin, TX 78736, United States",30.2324123,-97.9264735,ChIJLQk80NJJW4YRY6sIM8peSrw,4.8,48.0,78736
TrainLifeFit,"4646 Mueller Blvd #1048, Austin, TX 78723, United States",30.3001821,-97.7065946,ChIJadpAaPi1RIYRP0B2GlO_2Hw,5.0,34.0,78723
Texas Fitness Institute,"2109 San Jacinto Blvd, Austin, TX 78712, United States",30.2836071,-97.73370980000001,ChIJ0W3ROJq1RIYRjqR1CQfApLg,4.6,8.0,78712
Anytime Fitness,"8516 Anderson Mill Rd, Austin, TX 78729, United States",30.4564683,-97.76721970000001,ChIJpbe-QD_NRIYRVMeYPlDz18g,4.7,89.0,78729
Squatch Frontier Fitness,"701 Tillery St, Austin, TX 78702, United States",30.2607807,-97.70348349999999,ChIJEerWlOS3RIYRTy3Dw-NkM5k,4.8,34.0,78702
Townlake YMCA,"1100 W Cesar Chavez St, Austin, TX 78703, United States",30.2688109,-97.7571328,ChIJ_dZIWhG1RIYROzIz44xxA1g,4.7,932.0,78703
Gold's Gym Austin Downtown,"115 E 6th St, Austin, TX 78701, United States",30.2673606,-97.7419662,ChIJvQwzuAm1RIYRmzCY53POdFE,3.7,314.0,78701
Orangetheory Fitness,"1211 E 5th St., Austin, TX 78702, United States",30.2632107,-97.7305183,ChIJlzkXFtK1RIYRPejmP7HzlIU,4.6,55.0,78702
Gold's Gym Austin North,"9101 Research Blvd, Austin, TX 78758, United States",30.3750921,-97.72872489999999,ChIJMYbJvpDLRIYRFe-MbOlJGxs,3.8,348.0,78758
Evolve Personal Fitness & Gym,"5716 W US Hwy 290 Service Rd, Austin, TX 78735, United States",30.2369076,-97.8473133,ChIJ061fnrdLW4YRqOo8uj88Je4,5.0,21.0,78735
Orangetheory Fitness,"1100 S Lamar Blvd, Austin, TX 78704, United States",30.2551897,-97.7622306,ChIJz7WqZx-1RIYRFHnL5ouwkB0,4.6,165.0,78704
MOVE Austin Fitness,"2414 Exposition Blvd #110, Austin, TX 78703, United States",30.297688,-97.76796399999999,ChIJ3xftpaDKRIYRMeDSPTy7Tso,5.0,11.0,78703
Planet Fitness,"12611 N Mopac Expy, Austin, TX 78727, United States",30.4217935,-97.7003225,ChIJzZIYof3NRIYRfXtBPLhXYgg,4.6,523.0,12611
Orangetheory Fitness,"12314 N Interstate Hwy 35 #105, Austin, TX 78753, United States",30.4004587,-97.67499719999999,ChIJrZvGi8nORIYRcUMRCCHQjC8,4.7,175.0,12314
Anytime Fitness,"6911 N FM 620, Austin, TX 78732, United States",30.4018248,-97.8541431,ChIJTwUPg-szW4YRDJHSPrZFL5Y,3.8,64.0,78732
Kilter Fitness,"5400 N Lamar Blvd, Austin, TX 78751, United States",30.3225058,-97.72898239999999,ChIJ3XutETbKRIYR_a7M7qzGwUA,5.0,12.0,78751
