,neg,neu,pos,compound,place_id
0,0.01,0.753,0.238,0.9685,ChIJIWfihOa0RIYRcxoKnUDcggY
1,0.0,0.815,0.185,0.983,ChIJIWfihOa0RIYRcxoKnUDcggY
2,0.025,0.8,0.175,0.9242,ChIJIWfihOa0RIYRcxoKnUDcggY
3,0.036,0.712,0.253,0.983,ChIJIWfihOa0RIYRcxoKnUDcggY
4,0.059,0.728,0.213,0.9018,ChIJIWfihOa0RIYRcxoKnUDcggY
5,0.04,0.678,0.282,0.981,ChIJIWfihOa0RIYRcxoKnUDcggY
6,0.0,0.715,0.285,0.9708,ChIJIWfihOa0RIYRcxoKnUDcggY
7,0.0,0.681,0.319,0.9809,ChIJIWfihOa0RIYRcxoKnUDcggY
8,0.0,0.65,0.35,0.9637,ChIJIWfihOa0RIYRcxoKnUDcggY
9,0.0,0.786,0.214,0.9215,ChIJIWfihOa0RIYRcxoKnUDcggY
10,0.076,0.687,0.237,0.8475,ChIJIWfihOa0RIYRcxoKnUDcggY
11,0.0,0.677,0.323,0.9729,ChIJIWfihOa0RIYRcxoKnUDcggY
12,0.032,0.56,0.407,0.9733,ChIJIWfihOa0RIYRcxoKnUDcggY
13,0.0,0.731,0.269,0.8858,ChIJIWfihOa0RIYRcxoKnUDcggY
14,0.045,0.798,0.157,0.9799,ChIJIWfihOa0RIYRcxoKnUDcggY
15,0.0,0.519,0.481,0.8805,ChIJIWfihOa0RIYRcxoKnUDcggY
16,0.077,0.657,0.266,0.7346,ChIJIWfihOa0RIYRcxoKnUDcggY
17,0.021,0.672,0.308,0.988,ChIJIWfihOa0RIYRcxoKnUDcggY
18,0.01,0.615,0.375,0.9949,ChIJIWfihOa0RIYRcxoKnUDcggY
19,0.0,0.681,0.319,0.9744,ChIJIWfihOa0RIYRcxoKnUDcggY
20,0.029,0.682,0.289,0.9937,ChIJIWfihOa0RIYRcxoKnUDcggY
21,0.019,0.452,0.529,0.992,ChIJIWfihOa0RIYRcxoKnUDcggY
22,0.0,0.768,0.232,0.9663,ChIJIWfihOa0RIYRcxoKnUDcggY
23,0.0,0.672,0.328,0.9663,ChIJIWfihOa0RIYRcxoKnUDcggY
24,0.0,0.719,0.281,0.9512,ChIJIWfihOa0RIYRcxoKnUDcggY
25,0.051,0.703,0.246,0.9958,ChIJIWfihOa0RIYRcxoKnUDcggY
26,0.025,0.631,0.344,0.953,ChIJIWfihOa0RIYRcxoKnUDcggY
27,0.025,0.733,0.242,0.962,ChIJIWfihOa0RIYRcxoKnUDcggY
28,0.071,0.67,0.26,0.9719,ChIJIWfihOa0RIYRcxoKnUDcggY
29,0.03,0.836,0.133,0.9318,ChIJIWfihOa0RIYRcxoKnUDcggY
30,0.017,0.736,0.247,0.9924,ChIJIWfihOa0RIYRcxoKnUDcggY
31,0.059,0.793,0.148,0.9593,ChIJIWfihOa0RIYRcxoKnUDcggY
32,0.023,0.811,0.166,0.9885,ChIJIWfihOa0RIYRcxoKnUDcggY
33,0.068,0.68,0.252,0.981,ChIJIWfihOa0RIYRcxoKnUDcggY
34,0.038,0.762,0.2,0.845,ChIJIWfihOa0RIYRcxoKnUDcggY
35,0.014,0.728,0.258,0.986,ChIJIWfihOa0RIYRcxoKnUDcggY
36,0.069,0.705,0.226,0.9534,ChIJIWfihOa0RIYRcxoKnUDcggY
37,0.0,0.43,0.57,0.9423,ChIJIWfihOa0RIYRcxoKnUDcggY
38,0.037,0.696,0.266,0.9741,ChIJIWfihOa0RIYRcxoKnUDcggY
39,0.0,0.655,0.345,0.9946,ChIJIWfihOa0RIYRcxoKnUDcggY
40,0.0,0.592,0.408,0.8502,ChIJIWfihOa0RIYRcxoKnUDcggY
41,0.018,0.752,0.23,0.9758,ChIJIWfihOa0RIYRcxoKnUDcggY
42,0.0,0.743,0.257,0.948,ChIJIWfihOa0RIYRcxoKnUDcggY
43,0.0,0.478,0.522,0.9822,ChIJIWfihOa0RIYRcxoKnUDcggY
44,0.012,0.634,0.354,0.9901,ChIJIWfihOa0RIYRcxoKnUDcggY
45,0.044,0.774,0.182,0.9271,ChIJIWfihOa0RIYRcxoKnUDcggY
46,0.06,0.742,0.199,0.9445,ChIJIWfihOa0RIYRcxoKnUDcggY
47,0.0,0.633,0.367,0.9882,ChIJIWfihOa0RIYRcxoKnUDcggY
48,0.079,0.701,0.22,0.9225,ChIJIWfihOa0RIYRcxoKnUDcggY
49,0.0,0.732,0.268,0.9771,ChIJIWfihOa0RIYRcxoKnUDcggY
50,0.045,0.621,0.334,0.9841,ChIJIWfihOa0RIYRcxoKnUDcggY
51,0.052,0.771,0.177,0.9322,ChIJIWfihOa0RIYRcxoKnUDcggY
52,0.0,0.536,0.464,0.9862,ChIJIWfihOa0RIYRcxoKnUDcggY
53,0.065,0.759,0.177,0.9749,ChIJIWfihOa0RIYRcxoKnUDcggY
54,0.0,0.796,0.204,0.8655,ChIJIWfihOa0RIYRcxoKnUDcggY
55,0.0,0.634,0.366,0.9675,ChIJIWfihOa0RIYRcxoKnUDcggY
56,0.0,0.831,0.169,0.989,ChIJIWfihOa0RIYRcxoKnUDcggY
57,0.034,0.784,0.183,0.9396,ChIJIWfihOa0RIYRcxoKnUDcggY
58,0.03,0.47,0.5,0.9861,ChIJIWfihOa0RIYRcxoKnUDcggY
59,0.0,0.643,0.357,0.9018,ChIJIWfihOa0RIYRcxoKnUDcggY
60,0.0,0.64,0.36,0.947,ChIJIWfihOa0RIYRcxoKnUDcggY
61,0.0,0.752,0.248,0.8221,ChIJIWfihOa0RIYRcxoKnUDcggY
62,0.0,0.752,0.248,0.9049,ChIJIWfihOa0RIYRcxoKnUDcggY
63,0.0,0.587,0.413,0.9411,ChIJIWfihOa0RIYRcxoKnUDcggY
64,0.033,0.571,0.397,0.9246,ChIJIWfihOa0RIYRcxoKnUDcggY
65,0.0,0.73,0.27,0.9038,ChIJIWfihOa0RIYRcxoKnUDcggY
66,0.0,0.672,0.328,0.8316,ChIJIWfihOa0RIYRcxoKnUDcggY
67,0.0,0.391,0.609,0.9257,ChIJIWfihOa0RIYRcxoKnUDcggY
68,0.059,0.608,0.333,0.8439,ChIJIWfihOa0RIYRcxoKnUDcggY
69,0.0,0.31,0.69,0.7707,ChIJIWfihOa0RIYRcxoKnUDcggY
70,0.046,0.688,0.266,0.8283,ChIJIWfihOa0RIYRcxoKnUDcggY
71,0.0,0.632,0.368,0.9323,ChIJIWfihOa0RIYRcxoKnUDcggY
72,0.0,0.704,0.296,0.6369,ChIJIWfihOa0RIYRcxoKnUDcggY
73,0.0,0.506,0.494,0.9134,ChIJIWfihOa0RIYRcxoKnUDcggY
74,0.0,0.4,0.6,0.6696,ChIJIWfihOa0RIYRcxoKnUDcggY
75,0.0,0.267,0.733,0.9647,ChIJIWfihOa0RIYRcxoKnUDcggY
76,0.0,0.506,0.494,0.913,ChIJIWfihOa0RIYRcxoKnUDcggY
77,0.0,0.387,0.613,0.9022,ChIJIWfihOa0RIYRcxoKnUDcggY
78,0.137,0.39,0.473,0.8356,ChIJIWfihOa0RIYRcxoKnUDcggY
79,0.0,0.527,0.473,0.6696,ChIJIWfihOa0RIYRcxoKnUDcggY
80,0.0,0.295,0.705,0.6988,ChIJIWfihOa0RIYRcxoKnUDcggY
81,0.286,0.39,0.325,0.0772,ChIJIWfihOa0RIYRcxoKnUDcggY
82,0.0,0.196,0.804,0.6239,ChIJIWfihOa0RIYRcxoKnUDcggY
83,0.0,0.739,0.261,0.913,ChIJIWfihOa0RIYRcxoKnUDcggY
99,0.0,0.541,0.459,0.969,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
100,0.252,0.693,0.054,-0.8617,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
101,0.148,0.806,0.046,-0.7796,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
102,0.0,0.639,0.361,0.9842,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
103,0.073,0.724,0.204,0.8925,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
104,0.0,0.537,0.463,0.7845,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
105,0.112,0.864,0.024,-0.8523,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
106,0.208,0.595,0.197,-0.0798,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
107,0.26,0.592,0.148,-0.2263,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
108,0.086,0.864,0.049,-0.296,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
109,0.0,0.674,0.326,0.9115,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
110,0.0,0.781,0.219,0.8885,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
111,0.03,0.715,0.256,0.9499,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
112,0.048,0.858,0.094,0.3976,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
113,0.0,0.659,0.341,0.8316,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
114,0.0,0.666,0.334,0.9589,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
115,0.0,0.772,0.228,0.7351,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
116,0.037,0.895,0.068,0.359,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
117,0.05,0.71,0.241,0.6573,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
118,0.0,0.595,0.405,0.8596,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
119,0.151,0.746,0.103,-0.6124,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
120,0.152,0.669,0.179,0.877,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
121,0.058,0.776,0.166,0.9545,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
122,0.0,0.565,0.435,0.875,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
123,0.0,0.48,0.52,0.8221,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
124,0.018,0.72,0.262,0.9881,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
125,0.117,0.672,0.212,0.7579,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
126,0.0,0.709,0.291,0.9299,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
127,0.326,0.674,0.0,-0.7774,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
128,0.013,0.697,0.29,0.9888,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
129,0.0,0.556,0.444,0.6808,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
